Frame,Raw X,Raw Y,Interpolated X,Interpolated Y,Bounce,Hit
0,1017,99,1017,99,,
1,,,1017,98,,
2,,,1017,97,,
3,,,1018,96,,
4,,,1018,95,,
5,,,1018,94,,
6,,,1018,93,,
7,,,1019,93,,
8,,,1019,92,,
9,,,1019,92,,
10,,,1019,91,,
11,,,1019,91,,
12,1020,91,1020,91,,
13,,,993,117,,
14,,,968,140,,
15,,,946,162,,
16,,,926,181,,
17,,,909,197,,
18,,,897,210,,
19,890,217,890,217,,
20,860,250,860,250,,
21,,,825,296,,
22,806,322,806,322,,
23,781,358,781,358,,
24,,,744,423,,
25,,,715,474,,
26,700,502,700,502,,
27,,,665,565,,
28,647,601,647,601,,
29,626,595,626,595,,
30,596,588,596,588,,
31,578,590,578,590,,
32,,,540,588,,
33,520,587,520,587,,
34,498,592,498,592,,
35,469,598,469,598,,
36,443,607,443,607,,
37,421,618,421,618,,
38,,,509,569,,
39,,,578,532,,
40,616,512,616,512,,
41,661,493,661,493,,
42,,,714,477,,
43,,,765,461,,
44,,,812,447,,
45,,,856,434,,
46,,,897,422,,
47,,,934,411,,
48,,,966,401,,
49,,,994,393,,
50,,,1015,387,,
51,1027,384,1027,384,,
52,,,1055,386,,
53,1071,388,1071,388,,
54,,,1095,385,,
55,,,1116,384,,
56,,,1133,382,,
57,1142,382,1142,382,,
58,1155,362,1155,362,,
59,1165,346,1165,346,,
60,1178,330,1178,330,,
61,1187,318,1187,318,,
62,1194,307,1194,307,,
63,,,1193,300,,
64,,,1193,294,,
65,,,1192,288,,
66,,,1192,282,,
67,,,1191,277,,
68,,,1191,272,,
69,,,1190,267,,
70,,,1190,262,,
71,,,1190,258,,
72,,,1189,254,,
73,,,1189,250,,
74,,,1189,247,,
75,,,1189,245,,
76,,,1189,243,,
77,1189,242,1189,242,,
78,1187,221,1187,221,,
79,1189,213,1189,213,,
80,1190,275,1190,275,,
81,1178,279,1178,279,,
82,1165,281,1165,281,,
83,,,1144,289,,
84,,,1126,295,,
85,,,1113,301,,
86,1106,304,1106,304,,
87,1092,311,1092,311,,
88,1078,320,1078,320,,
89,1061,328,1061,328,,
90,1046,339,1046,339,,
91,1032,350,1032,350,,
92,1016,364,1016,364,,
93,999,378,999,378,,
94,,,976,405,,
95,,,955,430,,
96,,,937,452,,
97,,,922,470,,
98,,,910,485,,
99,904,493,904,493,,
100,886,518,886,518,,
101,867,544,867,544,,
102,851,573,851,573,,
103,831,603,831,603,,
104,,,807,644,,
105,795,667,795,667,,
106,777,703,777,703,,
107,767,714,767,714,,
108,754,708,754,708,,
109,744,706,744,706,,
110,732,704,732,704,,
111,722,705,722,705,,
112,711,706,711,706,,
