Frame,velocity,acceleration,x1,y1,x2,y2,xc,yc,deltaY
0,0,0,1009.6624145507812,90.41402435302734,1025.9715576171875,107.7059555053711,1017,99,0
1,-1,0,1006.5440271294888,86.49596466842831,1028.1901237778513,109.54629957866464,1017,98,-1
2,-1,0,1006.8947743528805,85.56063873938368,1028.5408710012432,108.61097364962001,1017,97,-1
3,-1,0,1007.2283945173037,84.67098496758847,1028.8744911656663,107.7213198778248,1018,96,-1
4,-1,0,1007.5439585139633,83.82948097649637,1029.190055162326,106.8798158867327,1018,95,-1
5,-1,0,1007.8403670981232,83.03905808540304,1029.486463746486,106.08939299563937,1018,94,-1
6,-1,0,1008.1162915040389,82.30325966962802,1029.7623881524016,105.35359457986435,1018,93,-1
7,1,2,1008.3700801453589,81.62648995944151,1030.0161767937216,104.67682486967784,1019,93,0
8,-1,-2,1008.5996014066291,81.01443326272084,1030.2456980549916,104.06476817295717,1019,92,-1
9,0,1,1008.8019516758187,80.47483254488183,1030.4480483241814,103.52516745511817,1019,92,0
10,-1,-1,1008.9728275305868,80.01916359883366,1030.6189241789493,103.06949850906999,1019,91,-1
11,0,1,1009.10478289217,79.66728263461171,1030.7508795405327,102.71761754484804,1019,91,0
12,1,1,1013.4521484375,82.54305267333984,1027.7066650390625,99.74274444580078,1020,91,0
13,37,36,982.3397627933316,105.48626176944627,1003.9858594416942,128.53659667968262,993,117,26
14,33,-3,957.6555610434667,129.41094961931535,979.3016576918293,152.4612845295517,968,140,23
15,31,-2,935.3316733800467,151.04794843155312,956.9777700284093,174.09828334178948,946,162,22
16,27,-3,915.6505133295489,170.12353432665103,937.2966099779114,193.17386923688738,926,181,19
17,23,-4,899.0306439321703,186.23202312718726,920.6767405805329,209.28235803742362,909,197,16
18,17,-5,886.1962918888472,198.6714720307157,907.8423885372098,221.72180694095206,897,210,13
19,9,-7,878.6636352539062,204.59774780273438,902.6790161132812,230.03549194335938,890,217,7
20,44,34,846.8889770507812,236.7718048095703,873.6725463867188,264.7969665527344,860,250,33
21,57,13,814.2688347678555,285.01898842216616,835.9149314162181,308.06932333240246,825,296,46
22,32,-25,794.4204711914062,309.21734619140625,818.9767456054688,334.9346008300781,806,322,26
23,43,11,773.27294921875,349.8221740722656,788.8603515625,367.3550720214844,781,358,36
24,74,30,733.2677670459159,412.09116077582013,754.9138636942785,435.14149568605643,744,423,65
25,58,-16,704.7654089439386,462.7620196237798,726.4115055923012,485.8123545340161,715,474,51
26,31,-26,690.7236938476562,491.8165283203125,711.2399291992188,512.4774169921875,700,502,28
27,72,40,654.9152813772622,554.4730468761477,676.5613780256248,577.5233817863841,665,565,63
28,40,-31,634.5161743164062,585.7923583984375,661.04248046875,616.25634765625,647,601,36
29,-21,-62,614.8404541015625,583.864013671875,637.2377319335938,606.3411254882812,626,595,-6
30,-30,-8,583.072265625,575.1292114257812,609.1968383789062,602.0220947265625,596,588,-7
31,18,48,564.5677490234375,573.38525390625,591.45166015625,607.9329833984375,578,590,2
32,-38,-56,529.6830483302286,576.5354927166616,551.3291449785912,599.585827626898,540,588,-2
33,-20,18,507.98583984375,574.1937255859375,533.5808715820312,601.4667358398438,520,587,-1
34,22,42,489.0177001953125,581.6757202148438,507.2988586425781,602.9115600585938,498,592,5
35,29,7,462.6719055175781,590.4873657226562,477.129638671875,606.83154296875,469,598,6
36,27,-2,434.48419189453125,596.9834594726562,452.06195068359375,617.0408935546875,443,607,9
37,24,-2,414.24774169921875,610.1295776367188,428.63287353515625,627.340576171875,421,618,11
38,-100,-125,499.0323961552143,558.1739242637744,520.6784928035769,581.2242591740109,509,569,-49
39,-78,22,567.649184178493,520.8745420562486,589.2952808268556,543.924876966485,578,532,-37
40,-42,35,605.0147094726562,500.49884033203125,627.4663696289062,525.1078491210938,616,512,-20
41,-48,-5,646.4013671875,478.55145263671875,676.08349609375,509.79107666015625,661,494,-18
42,-55,-7,703.6806732979794,466.39447905188274,725.326769946342,489.44481396211904,714,477,-17
