frame,multi_ball_position,single_ball_position,clean_ball_position,complete_ball_position,centre_point,x,y,x_diff,y_diff,velocity
0,"{1: [1009, 90, 1025, 107]}","[1009, 90, 1025, 107]","[1009, 90, 1025, 107]","[1009, 90, 1025, 107]","(1017, 98)",1017,98,0,0,0.0
1,{},,,"(1009, 88, 1024, 105)","(1016, 96)",1016,96,-1,-2,2.24
2,{},,,"(1010, 87, 1025, 104)","(1017, 95)",1017,95,1,-1,1.41
3,{},,,"(1010, 87, 1025, 104)","(1017, 95)",1017,95,0,0,0.0
4,{},,,"(1010, 86, 1025, 103)","(1017, 94)",1017,94,0,-1,1.0
5,{},,,"(1010, 85, 1025, 102)","(1017, 93)",1017,93,0,-1,1.0
6,{},,,"(1011, 84, 1026, 101)","(1018, 92)",1018,92,1,-1,1.41
7,{},,,"(1011, 84, 1026, 101)","(1018, 92)",1018,92,0,0,0.0
8,{},,,"(1011, 83, 1026, 100)","(1018, 91)",1018,91,0,-1,1.0
9,{},,,"(1011, 83, 1026, 100)","(1018, 91)",1018,91,0,0,0.0
10,{},,,"(1012, 82, 1027, 99)","(1019, 90)",1019,90,1,-1,1.41
11,{},,,"(1012, 81, 1027, 98)","(1019, 89)",1019,89,0,-1,1.0
12,"{1: [1013, 82, 1027, 99]}","[1013, 82, 1027, 99]","[1013, 82, 1027, 99]","[1013, 82, 1027, 99]","(1020, 90)",1020,90,1,1,1.41
13,{},,,"(988, 100, 1007, 122)","(997, 111)",997,111,-23,21,31.14
14,{},,,"(967, 121, 986, 142)","(976, 131)",976,131,-21,20,29.0
15,{},,,"(946, 141, 965, 162)","(955, 151)",955,151,-21,20,29.0
16,{},,,"(927, 160, 946, 181)","(936, 170)",936,170,-19,19,26.87
17,{},,,"(909, 178, 928, 199)","(918, 188)",918,188,-18,18,25.46
18,{},,,"(893, 193, 912, 215)","(902, 204)",902,204,-16,16,22.63
19,"{1: [878, 204, 902, 230], 2: [1013, 231, 1027, 246]}","[878, 204, 902, 230]","[878, 204, 902, 230]","[878, 204, 902, 230]","(890, 217)",890,217,-12,13,17.69
20,"{1: [846, 236, 873, 264]}","[846, 236, 873, 264]","[846, 236, 873, 264]","[846, 236, 873, 264]","(859, 250)",859,250,-31,33,45.28
21,{},,,"(816, 276, 841, 303)","(828, 289)",828,289,-31,39,49.82
22,"{1: [794, 309, 818, 334]}","[794, 309, 818, 334]","[794, 309, 818, 334]","[794, 309, 818, 334]","(806, 321)",806,321,-22,32,38.83
23,"{1: [773, 349, 788, 367]}","[773, 349, 788, 367]","[773, 349, 788, 367]","[773, 349, 788, 367]","(780, 358)",780,358,-26,37,45.22
24,{},,,"(740, 403, 758, 422)","(749, 412)",749,412,-31,54,62.27
25,{},,,"(712, 452, 730, 472)","(721, 462)",721,462,-28,50,57.31
26,"{1: [690, 491, 711, 512]}","[690, 491, 711, 512]","[690, 491, 711, 512]","[690, 491, 711, 512]","(700, 501)",700,501,-21,39,44.29
27,{},,,"(658, 543, 682, 569)","(670, 556)",670,556,-30,55,62.65
28,"{1: [634, 585, 661, 616]}","[634, 585, 661, 616]","[634, 585, 661, 616]","[634, 585, 661, 616]","(647, 600)",647,600,-23,44,49.65
29,"{1: [614, 583, 637, 606], 2: [1016, 226, 1032, 244]}","[614, 583, 637, 606]","[614, 583, 637, 606]","[614, 583, 637, 606]","(625, 594)",625,594,-22,-6,22.8
30,"{1: [583, 575, 609, 602]}","[583, 575, 609, 602]","[583, 575, 609, 602]","[583, 575, 609, 602]","(596, 588)",596,588,-29,-6,29.61
31,"{1: [564, 573, 591, 607]}","[564, 573, 591, 607]","[564, 573, 591, 607]","[564, 573, 591, 607]","(577, 590)",577,590,-19,2,19.1
32,{},,,"(531, 573, 558, 603)","(544, 588)",544,588,-33,-2,33.06
33,"{1: [507, 574, 533, 601]}","[507, 574, 533, 601]","[507, 574, 533, 601]","[507, 574, 533, 601]","(520, 587)",520,587,-24,-1,24.02
34,"{1: [489, 581, 507, 602]}","[489, 581, 507, 602]","[489, 581, 507, 602]","[489, 581, 507, 602]","(498, 591)",498,591,-22,4,22.36
35,"{1: [462, 590, 477, 606]}","[462, 590, 477, 606]","[462, 590, 477, 606]","[462, 590, 477, 606]","(469, 598)",469,598,-29,7,29.83
36,"{1: [434, 596, 452, 617]}","[434, 596, 452, 617]","[434, 596, 452, 617]","[434, 596, 452, 617]","(443, 606)",443,606,-26,8,27.2
37,"{1: [414, 610, 428, 627]}","[414, 610, 428, 627]","[414, 610, 428, 627]","[414, 610, 428, 627]","(421, 618)",421,618,-22,12,25.06
38,{},,,"(487, 566, 505, 587)","(496, 576)",496,576,75,-42,85.96
39,{},,,"(554, 529, 572, 550)","(563, 539)",563,539,67,-37,76.54
40,"{1: [605, 500, 627, 525]}","[605, 500, 627, 525]","[605, 500, 627, 525]","[605, 500, 627, 525]","(616, 512)",616,512,53,-27,59.48
41,"{1: [649, 480, 672, 506], 2: [646, 478, 676, 509]}","[646, 478, 676, 509]","[646, 478, 676, 509]","[646, 478, 676, 509]","(661, 493)",661,493,45,-19,48.85
42,{},,,"(692, 467, 716, 492)","(704, 479)",704,479,43,-14,45.22
43,{},,,"(734, 454, 758, 480)","(746, 467)",746,467,42,-12,43.68
44,{},,,"(775, 442, 800, 467)","(787, 454)",787,454,41,-13,43.01
45,{},,,"(816, 430, 840, 455)","(828, 442)",828,442,41,-12,42.72
46,{},,,"(854, 418, 879, 444)","(866, 431)",866,431,38,-11,39.56
47,{},,,"(892, 407, 916, 433)","(904, 420)",904,420,38,-11,39.56
48,{},,,"(927, 396, 952, 422)","(939, 409)",939,409,35,-11,36.69
49,{},,,"(960, 387, 985, 412)","(972, 399)",972,399,33,-10,34.48
50,{},,,"(990, 378, 1015, 403)","(1002, 390)",1002,390,30,-9,31.32
51,"{1: [1017, 374, 1036, 394]}","[1017, 374, 1036, 394]","[1017, 374, 1036, 394]","[1017, 374, 1036, 394]","(1026, 384)",1026,384,24,-6,24.74
52,{},,,"(1042, 376, 1060, 396)","(1051, 386)",1051,386,25,2,25.08
53,"{1: [1062, 378, 1080, 398]}","[1062, 378, 1080, 398]","[1062, 378, 1080, 398]","[1062, 378, 1080, 398]","(1071, 388)",1071,388,20,2,20.1
54,{},,,"(1083, 377, 1099, 395)","(1091, 386)",1091,386,20,-2,20.1
55,{},,,"(1102, 375, 1118, 393)","(1110, 384)",1110,384,19,-2,19.1
56,{},,,"(1119, 374, 1135, 392)","(1127, 383)",1127,383,17,-1,17.03
57,"{1: [1134, 374, 1149, 390]}","[1134, 374, 1149, 390]","[1134, 374, 1149, 390]","[1134, 374, 1149, 390]","(1141, 382)",1141,382,14,-1,14.04
58,"{1: [1142, 349, 1167, 375]}","[1142, 349, 1167, 375]","[1142, 349, 1167, 375]","[1142, 349, 1167, 375]","(1154, 362)",1154,362,13,-20,23.85
59,"{1: [1154, 334, 1177, 358]}","[1154, 334, 1177, 358]","[1154, 334, 1177, 358]","[1154, 334, 1177, 358]","(1165, 346)",1165,346,11,-16,19.42
60,"{1: [1166, 319, 1189, 341]}","[1166, 319, 1189, 341]","[1166, 319, 1189, 341]","[1166, 319, 1189, 341]","(1177, 330)",1177,330,12,-16,20.0
