delta_y,velocity,frame,velocity_rolling_mean,delta_velocity
0,0,0,0,
-1,-1,1,0,0.0
-1,-1,2,-1,-1.0
-1,-1,3,-1,0.0
-1,-1,4,-1,0.0
-1,-1,5,-1,0.0
-1,-1,6,-1,0.0
0,1,7,-1,0.0
-1,-1,8,-1,0.0
0,0,9,0,1.0
-1,-1,10,0,0.0
0,0,11,0,0.0
0,1,12,0,0.0
26,37,13,7,7.0
23,33,14,14,7.0
22,31,15,20,6.0
19,27,16,26,6.0
16,23,17,30,4.0
13,17,18,26,-4.0
7,9,19,21,-5.0
33,44,20,24,3.0
46,57,21,30,6.0
26,32,22,32,2.0
36,43,23,37,5.0
65,74,24,50,13.0
51,58,25,53,3.0
28,31,26,48,-5.0
63,72,27,56,8.0
36,40,28,55,-1.0
-6,-21,29,36,-19.0
-7,-30,30,18,-18.0
2,18,31,16,-2.0
-2,-38,32,-6,-22.0
-1,-20,33,-18,-12.0
5,22,34,-10,8.0
6,29,35,2,12.0
9,27,36,4,2.0
11,24,37,16,12.0
-49,-100,38,0,-16.0
-37,-78,39,-20,-20.0
-20,-42,40,-34,-14.0
-18,-48,41,-49,-15.0
-17,-55,42,-65,-16.0
-15,-53,43,-55,10.0
-14,-49,44,-49,6.0
-13,-45,45,-50,-1.0
-13,-43,46,-49,1.0
-11,-38,47,-46,3.0
-9,-33,48,-42,4.0
-9,-29,49,-38,4.0
-6,-21,50,-33,5.0
-3,-12,51,-27,6.0
2,28,52,-13,14.0
2,16,53,-4,9.0
-3,-24,54,-3,1.0
-1,-21,55,-3,0.0
-2,-17,56,-4,-1.0
0,9,57,-7,-3.0
-20,-23,58,-15,-8.0
-16,-18,59,-14,1.0
-16,-20,60,-14,0.0
-12,-15,61,-13,1.0
-11,-13,62,-18,-5.0
-7,-7,63,-15,3.0
-6,-6,64,-12,3.0
-6,-6,65,-9,3.0
-6,-6,66,-8,1.0
-5,-5,67,-6,2.0
-5,-5,68,-6,0.0
-5,-5,69,-5,1.0
-5,-5,70,-5,0.0
-4,-4,71,-5,0.0
-4,-4,72,-5,0.0
-4,-4,73,-4,1.0
-3,-3,74,-4,0.0
-2,-2,75,-3,1.0
-2,-2,76,-3,0.0
-1,-1,77,-2,1.0
-21,-21,78,-6,-4.0
-8,-8,79,-7,-1.0
62,62,80,6,13.0
4,12,81,9,3.0
2,13,82,12,3.0
8,22,83,20,8.0
6,18,84,25,5.0
6,14,85,16,-9.0
3,7,86,15,-1.0
7,15,87,15,0.0
7,15,88,14,-1.0
10,19,89,14,0.0
11,18,90,15,1.0
11,17,91,17,2.0
14,21,92,18,1.0
14,22,93,19,1.0
27,35,94,23,4.0
25,32,95,25,2.0
22,28,96,28,3.0
18,23,97,28,0.0
15,19,98,27,-1.0
8,10,99,22,-5.0
25,30,100,22,0.0
26,32,101,23,1.0
29,33,102,25,2.0
30,36,103,28,3.0
41,47,104,36,8.0
23,25,105,35,-1.0
36,40,106,36,1.0
10,14,107,32,-4.0
-5,-13,108,23,-9.0
-2,-10,109,11,-12.0
-2,-12,110,4,-7.0
1,10,111,-2,-6.0
1,11,112,-3,-1.0
8,13,113,2,5.0
2,8,114,6,4.0
11,17,115,12,6.0
8,11,116,12,0.0
13,17,117,13,1.0
-82,-83,118,-6,-19.0
-61,-62,119,-20,-14.0
-58,-60,120,-35,-15.0
-50,-51,121,-48,-13.0
-43,-44,122,-60,-12.0
-36,-37,123,-51,9.0
-28,-29,124,-44,7.0
-15,-15,125,-35,9.0
-21,-21,126,-29,6.0
-15,-16,127,-24,5.0
-10,-11,128,-18,6.0
-8,-8,129,-14,4.0
-4,-5,130,-12,2.0
-2,-2,131,-8,4.0
-2,-2,132,-6,2.0
-1,-1,133,-4,2.0
2,2,134,-2,2.0
2,3,135,0,2.0
5,5,136,1,1.0
-5,-5,137,1,0.0
-26,-26,138,-4,-5.0
-14,-14,139,-7,-3.0
-16,-16,140,-11,-4.0
-15,-15,141,-15,-4.0
-11,-11,142,-16,-1.0
-12,-12,143,-14,2.0
-7,-7,144,-12,2.0
5,13,145,-6,6.0
5,12,146,-1,5.0
4,9,147,3,4.0
3,9,148,7,4.0
3,6,149,10,3.0
2,4,150,8,-2.0
11,17,151,9,1.0
14,19,152,11,2.0
24,31,153,15,4.0
18,23,154,19,4.0
11,14,155,21,2.0
24,28,156,23,2.0
19,22,157,24,1.0
44,50,158,27,3.0
40,45,159,32,5.0
34,38,160,37,5.0
25,29,161,37,0.0
15,17,162,36,-1.0
45,49,163,36,0.0
42,46,164,36,0.0
41,47,165,38,2.0
1,16,166,35,-3.0
5,16,167,35,0.0
6,18,168,29,-6.0
10,22,169,24,-5.0
13,22,170,19,-5.0
12,25,171,21,2.0
17,24,172,22,1.0
22,31,173,25,3.0
22,31,174,27,2.0
-79,-91,175,4,-23.0
-61,-70,176,-15,-19.0
-33,-38,177,-27,-12.0
-67,-80,178,-50,-23.0
-46,-59,179,-68,-18.0
-39,-49,180,-59,9.0
-30,-38,181,-53,6.0
-16,-20,182,-49,4.0
-23,-33,183,-40,9.0
-15,-24,184,-33,7.0
-13,-21,185,-27,6.0
-11,-21,186,-24,3.0
-8,-17,187,-23,1.0
-4,-14,188,-19,4.0
-1,-18,189,-18,1.0
0,15,190,-11,7.0
0,12,191,-4,7.0
0,10,192,1,5.0
0,5,193,5,4.0
6,14,194,11,6.0
5,10,195,10,-1.0
-3,-6,196,7,-3.0
-24,-25,197,0,-7.0
-18,-19,198,-5,-5.0
-9,-9,199,-10,-5.0
-13,-15,200,-15,-5.0
-13,-13,201,-16,-1.0
-12,-13,202,-14,2.0
-6,-6,203,-11,3.0
-4,-4,204,-10,1.0
5,10,205,-5,5.0
17,24,206,2,7.0
17,24,207,10,8.0
14,21,208,15,5.0
13,18,209,19,4.0
11,16,210,21,2.0
9,12,211,18,-3.0
5,7,212,15,-3.0
20,25,213,16,1.0
18,22,214,16,0.0
23,26,215,18,2.0
44,48,216,26,8.0
40,43,217,33,7.0
33,36,218,35,2.0
25,27,219,36,1.0
15,16,220,34,-2.0
39,42,221,33,-1.0
43,45,222,33,0.0
35,38,223,34,1.0
-1,-17,224,25,-9.0
3,15,225,25,0.0
3,14,226,19,-6.0
10,18,227,14,-5.0
10,19,228,10,-4.0
11,18,229,17,7.0
14,22,230,18,1.0
18,24,231,20,2.0
21,25,232,22,2.0
28,36,233,25,3.0
8,10,234,23,-2.0
