single_centre_point,clean_centre_point,complete_centre_point,velocity_vector,velocity,velocity_delta,frame
"(1017, 98)","(1017, 98)","(1017, 98)",0,0,,0
,,"(1016, 96)",-2,2,,1
,,"(1017, 95)",-1,1,1.0,2
,,"(1017, 95)",0,0,1.0,3
,,"(1017, 94)",-1,1,-1.0,4
,,"(1017, 93)",-1,1,0.0,5
,,"(1018, 92)",-1,1,0.0,6
,,"(1018, 92)",0,0,1.0,7
,,"(1018, 91)",-1,1,-1.0,8
,,"(1018, 91)",0,0,1.0,9
,,"(1019, 90)",-1,1,-1.0,10
,,"(1019, 89)",-1,1,0.0,11
"(1020, 90)","(1020, 90)","(1020, 90)",1,1,2.0,12
,,"(997, 111)",31,31,30.0,13
,,"(976, 131)",29,29,-2.0,14
,,"(955, 151)",29,29,0.0,15
,,"(936, 170)",26,26,-3.0,16
,,"(918, 188)",25,25,-1.0,17
,,"(902, 204)",22,22,-3.0,18
"(890, 217)","(890, 217)","(890, 217)",17,17,-5.0,19
"(859, 250)","(859, 250)","(859, 250)",45,45,28.0,20
,,"(828, 289)",49,49,4.0,21
"(806, 321)","(806, 321)","(806, 321)",38,38,-11.0,22
"(780, 358)","(780, 358)","(780, 358)",45,45,7.0,23
,,"(749, 412)",62,62,17.0,24
,,"(721, 462)",57,57,-5.0,25
"(700, 501)","(700, 501)","(700, 501)",44,44,-13.0,26
,,"(670, 556)",62,62,18.0,27
"(647, 600)","(647, 600)","(647, 600)",49,49,-13.0,28
"(625, 594)","(625, 594)","(625, 594)",-22,22,-71.0,29
"(596, 588)","(596, 588)","(596, 588)",-29,29,-7.0,30
"(577, 590)","(577, 590)","(577, 590)",19,19,48.0,31
,,"(544, 588)",-33,33,-52.0,32
"(520, 587)","(520, 587)","(520, 587)",-24,24,9.0,33
"(498, 591)","(498, 591)","(498, 591)",22,22,46.0,34
"(469, 598)","(469, 598)","(469, 598)",29,29,7.0,35
"(443, 606)","(443, 606)","(443, 606)",27,27,-2.0,36
"(421, 618)","(421, 618)","(421, 618)",25,25,-2.0,37
,,"(496, 576)",-85,85,-110.0,38
,,"(563, 539)",-76,76,9.0,39
"(616, 512)","(616, 512)","(616, 512)",-59,59,17.0,40
"(661, 493)","(661, 493)","(661, 493)",-48,48,11.0,41
,,"(704, 479)",-45,45,3.0,42
,,"(746, 467)",-43,43,2.0,43
,,"(787, 454)",-43,43,0.0,44
,,"(828, 442)",-42,42,1.0,45
,,"(866, 431)",-39,39,3.0,46
,,"(904, 420)",-39,39,0.0,47
,,"(939, 409)",-36,36,3.0,48
,,"(972, 399)",-34,34,2.0,49
,,"(1002, 390)",-31,31,3.0,50
"(1026, 384)","(1026, 384)","(1026, 384)",-24,24,7.0,51
,,"(1051, 386)",25,25,49.0,52
"(1071, 388)","(1071, 388)","(1071, 388)",20,20,-5.0,53
,,"(1091, 386)",-20,20,-40.0,54
,,"(1110, 384)",-19,19,1.0,55
,,"(1127, 383)",-17,17,2.0,56
"(1141, 382)","(1141, 382)","(1141, 382)",-14,14,3.0,57
"(1154, 362)","(1154, 362)","(1154, 362)",-23,23,-9.0,58
"(1165, 346)","(1165, 346)","(1165, 346)",-19,19,4.0,59
"(1177, 330)","(1177, 330)","(1177, 330)",-20,20,-1.0,60
"(1186, 318)","(1186, 318)","(1186, 318)",-15,15,5.0,61
"(1194, 307)","(1194, 307)","(1194, 307)",-13,13,2.0,62
,,"(1193, 301)",-6,6,7.0,63
,,"(1192, 296)",-5,5,1.0,64
,,"(1192, 291)",-5,5,0.0,65
,,"(1191, 286)",-5,5,0.0,66
,,"(1191, 281)",-5,5,0.0,67
,,"(1191, 276)",-5,5,0.0,68
,,"(1190, 272)",-4,4,1.0,69
,,"(1190, 267)",-5,5,-1.0,70
,,"(1189, 263)",-4,4,1.0,71
,,"(1189, 259)",-4,4,0.0,72
,,"(1188, 255)",-4,4,0.0,73
,,"(1188, 251)",-4,4,0.0,74
,,"(1188, 247)",-4,4,0.0,75
,,"(1187, 244)",-3,3,1.0,76
