predicted_keypoints,refined_predicted_keypoints,homographied_keypoints,refined_homographied_keypoints,court_keypoints
"(597, 306)","(604, 308)","(604, 308)","(605, 308)","(605, 308)"
"(1326, 306)",,"(1292, 309)","(1294, 308)","(1294, 308)"
"(261, 839)","(245, 848)","(245, 848)",,"(277, 843)"
"(1666, 838)","(1668, 846)","(1668, 846)","(1669, 846)","(1669, 846)"
"(688, 306)","(692, 307)","(692, 307)","(694, 308)","(694, 308)"
"(436, 839)",,"(422, 846)","(450, 844)","(450, 844)"
"(1235, 306)","(1208, 309)","(1208, 309)","(1208, 309)","(1208, 309)"
"(1490, 838)","(1482, 841)","(1482, 841)",,"(1495, 845)"
"(655, 378)",,"(656, 376)",,"(662, 377)"
"(1268, 378)",,"(1243, 377)",,"(1245, 377)"
"(531, 642)",,"(524, 641)",,"(542, 641)"
"(1395, 642)",,"(1378, 639)","(1379, 640)","(1379, 640)"
"(960, 378)",,"(950, 377)",,"(953, 377)"
"(963, 642)",,"(953, 640)",,"(964, 641)"
