frame_number,keypoints_count,person_positions,ball_positions
0,0,"{1: [761, 940, 804, 1075]}",{}
1,1,"{1: [762, 940, 805, 1075]}",{}
2,0,{},"{1: [104, 1019, 124, 1039]}"
3,0,"{2: [1141, 403, 1368, 840], 3: [1192, 216, 1245, 344], 4: [950, 205, 984, 296], 5: [1710, 207, 1751, 301], 6: [352, 254, 394, 408], 9: [121, 291, 197, 409]}","{1: [104, 1019, 124, 1039]}"
4,1,"{2: [1141, 401, 1367, 836], 3: [1189, 213, 1244, 344], 4: [950, 205, 984, 296], 5: [1710, 207, 1751, 300], 6: [352, 254, 394, 408], 9: [121, 291, 196, 409]}","{1: [104, 1019, 124, 1039]}"
5,0,"{2: [1141, 396, 1367, 831], 3: [1181, 204, 1236, 341], 4: [950, 205, 984, 296], 5: [1710, 207, 1752, 300], 6: [352, 255, 394, 408], 9: [120, 292, 196, 408]}","{1: [104, 1019, 124, 1039]}"
6,0,"{2: [1140, 391, 1366, 828], 3: [1177, 189, 1231, 336], 4: [950, 205, 984, 296], 5: [1711, 207, 1752, 300], 6: [352, 254, 394, 409], 9: [120, 291, 192, 399]}","{1: [104, 1019, 124, 1039]}"
7,0,"{2: [1141, 385, 1357, 818], 3: [1177, 169, 1228, 334], 4: [950, 205, 984, 296], 5: [1711, 206, 1752, 300], 6: [351, 254, 394, 409], 9: [119, 292, 196, 405]}",{}
8,0,"{2: [1141, 381, 1353, 803], 3: [1178, 171, 1227, 333], 4: [950, 204, 983, 295], 5: [1712, 206, 1753, 300], 6: [351, 253, 393, 409], 9: [119, 292, 193, 405]}",{}
9,0,"{2: [1138, 379, 1356, 790], 3: [1179, 198, 1227, 332], 4: [950, 204, 983, 295], 5: [1712, 206, 1753, 300], 6: [351, 253, 393, 408], 9: [119, 292, 191, 396]}",{}
10,0,"{2: [1128, 381, 1361, 778], 3: [1178, 211, 1228, 332], 4: [950, 203, 983, 295], 5: [1712, 206, 1754, 300], 6: [352, 253, 394, 408], 9: [119, 291, 191, 394]}",{}
