frame,near_player_position,far_player_position
0,"{1: [369, 659, 530, 904]}","{2: [997, 149, 1059, 298]}"
1,"{1: [369, 658, 530, 904]}","{2: [997, 148, 1054, 298]}"
2,"{1: [369, 658, 530, 904]}","{2: [996, 148, 1047, 298]}"
3,"{1: [369, 656, 531, 903]}","{2: [995, 148, 1041, 298]}"
4,"{1: [369, 654, 531, 901]}","{2: [993, 148, 1037, 298]}"
5,"{1: [369, 652, 531, 898]}","{2: [992, 148, 1037, 298]}"
6,"{1: [369, 652, 531, 895]}","{2: [991, 149, 1035, 298]}"
7,"{1: [369, 652, 533, 893]}","{2: [990, 150, 1034, 298]}"
8,"{1: [369, 653, 540, 893]}","{2: [991, 151, 1033, 298]}"
9,"{1: [369, 653, 544, 893]}","{2: [990, 157, 1032, 298]}"
10,"{1: [369, 653, 545, 893]}","{2: [991, 171, 1037, 297]}"
11,"{1: [369, 651, 546, 892]}","{2: [990, 172, 1041, 297]}"
12,"{1: [372, 647, 546, 888]}","{2: [988, 165, 1038, 297]}"
13,"{1: [375, 642, 546, 885]}","{2: [988, 154, 1033, 296]}"
14,"{1: [383, 638, 546, 881]}","{2: [982, 135, 1026, 292]}"
15,"{1: [397, 635, 548, 877]}","{2: [983, 140, 1021, 290]}"
16,"{1: [412, 633, 555, 874]}","{2: [978, 148, 1019, 288]}"
17,"{1: [425, 633, 575, 873]}","{2: [982, 166, 1018, 286]}"
18,"{1: [438, 636, 588, 872]}","{2: [973, 175, 1017, 268]}"
19,"{1: [443, 640, 594, 874]}","{2: [972, 179, 1020, 275]}"
20,"{1: [445, 644, 597, 876]}","{2: [970, 184, 1031, 291]}"
21,"{1: [447, 649, 597, 876]}","{2: [971, 189, 1037, 301]}"
22,"{1: [446, 651, 597, 876]}","{2: [972, 193, 1035, 305]}"
23,"{1: [445, 651, 596, 874]}","{2: [973, 192, 1041, 306]}"
24,"{1: [445, 650, 595, 873]}","{2: [973, 192, 1041, 306]}"
25,"{1: [444, 650, 595, 873]}","{2: [972, 194, 1041, 307]}"
26,"{1: [439, 649, 594, 873]}","{2: [970, 201, 1041, 306]}"
27,"{1: [437, 648, 594, 873]}","{2: [970, 206, 1042, 306]}"
28,"{1: [434, 648, 596, 873]}","{2: [970, 206, 1041, 306]}"
29,"{1: [430, 647, 598, 873]}","{2: [965, 204, 1035, 306]}"
30,"{1: [429, 646, 598, 872]}","{2: [961, 203, 1027, 305]}"
31,"{1: [427, 644, 597, 872]}","{2: [960, 202, 1019, 308]}"
32,"{1: [428, 641, 596, 872]}","{2: [959, 201, 1014, 309]}"
33,"{1: [422, 637, 596, 871]}","{2: [959, 200, 1018, 309]}"
34,"{1: [418, 628, 595, 871]}","{2: [959, 199, 1021, 309]}"
35,"{1: [417, 620, 592, 871]}","{2: [958, 196, 1022, 309]}"
36,"{1: [420, 611, 584, 870]}","{2: [959, 193, 1022, 309]}"
37,"{1: [436, 604, 572, 867]}","{2: [959, 190, 1023, 308]}"
38,"{1: [452, 597, 559, 863]}","{2: [964, 188, 1023, 306]}"
39,"{1: [459, 592, 546, 858]}","{2: [966, 187, 1027, 305]}"
40,"{1: [461, 585, 555, 853]}","{2: [970, 185, 1034, 304]}"
41,"{1: [462, 575, 560, 844]}","{2: [973, 185, 1042, 302]}"
42,"{1: [462, 576, 561, 833]}","{2: [976, 186, 1051, 301]}"
43,"{1: [462, 586, 557, 828]}","{2: [978, 187, 1057, 300]}"
44,"{1: [460, 590, 552, 830]}","{2: [979, 189, 1063, 299]}"
45,"{1: [455, 601, 550, 831]}","{2: [979, 190, 1065, 298]}"
46,"{1: [450, 608, 552, 832]}","{2: [979, 191, 1062, 298]}"
47,"{1: [444, 610, 554, 831]}","{2: [979, 189, 1059, 298]}"
48,"{1: [447, 611, 553, 831]}","{2: [979, 188, 1061, 298]}"
49,"{1: [451, 614, 547, 830]}","{2: [985, 187, 1067, 298]}"
50,"{1: [449, 619, 545, 830]}","{2: [994, 187, 1075, 297]}"
51,"{1: [448, 624, 546, 832]}","{2: [1009, 187, 1082, 296]}"
52,"{1: [448, 629, 559, 833]}","{2: [1023, 187, 1091, 296]}"
53,"{1: [448, 632, 571, 833]}","{2: [1030, 186, 1100, 295]}"
54,"{1: [446, 633, 580, 838]}","{2: [1035, 185, 1107, 295]}"
55,"{1: [443, 632, 585, 841]}","{2: [1041, 183, 1117, 294]}"
56,"{1: [449, 630, 588, 842]}","{2: [1050, 182, 1126, 292]}"
57,"{1: [460, 627, 595, 843]}","{2: [1063, 183, 1137, 292]}"
58,"{1: [480, 625, 601, 843]}","{2: [1082, 185, 1149, 292]}"
59,"{1: [505, 623, 606, 843]}","{2: [1101, 187, 1159, 292]}"
60,"{1: [530, 623, 613, 847]}","{2: [1112, 188, 1170, 291]}"
61,"{1: [547, 624, 621, 855]}","{2: [1119, 190, 1180, 292]}"
62,"{1: [558, 629, 644, 862]}","{2: [1129, 192, 1189, 291]}"
63,"{1: [566, 633, 665, 868]}","{2: [1139, 194, 1198, 290]}"
64,"{1: [570, 638, 685, 878]}","{2: [1148, 197, 1206, 294]}"
65,"{1: [572, 644, 697, 886]}","{2: [1156, 200, 1215, 294]}"
66,"{1: [575, 650, 703, 895]}","{2: [1162, 201, 1224, 295]}"
67,"{1: [580, 656, 707, 898]}","{2: [1164, 203, 1235, 296]}"
68,"{1: [587, 659, 708, 899]}","{2: [1169, 206, 1249, 300]}"
69,"{1: [592, 659, 708, 899]}","{2: [1174, 206, 1257, 302]}"
70,"{1: [593, 656, 708, 898]}","{2: [1182, 210, 1261, 302]}"
71,"{1: [593, 651, 708, 897]}","{2: [1188, 212, 1266, 301]}"
72,"{1: [594, 645, 708, 895]}","{2: [1196, 214, 1272, 302]}"
73,"{1: [594, 640, 709, 891]}","{2: [1201, 217, 1269, 303]}"
74,"{1: [595, 637, 718, 884]}","{2: [1208, 219, 1268, 303]}"
75,"{1: [596, 637, 727, 881]}","{2: [1211, 220, 1269, 303]}"
76,"{1: [595, 637, 738, 882]}","{2: [1203, 219, 1271, 303]}"
77,"{1: [594, 640, 745, 882]}","{2: [1196, 218, 1273, 302]}"
78,"{1: [593, 645, 748, 883]}","{2: [1211, 215, 1279, 302]}"
79,"{1: [593, 651, 750, 884]}","{2: [1201, 208, 1284, 302]}"
80,"{1: [592, 658, 750, 884]}","{2: [1198, 196, 1288, 302]}"
81,"{1: [592, 662, 750, 884]}","{2: [1202, 192, 1291, 302]}"
82,"{1: [592, 665, 751, 884]}","{2: [1204, 189, 1290, 302]}"
83,"{1: [592, 665, 750, 885]}","{2: [1207, 188, 1289, 301]}"
84,"{1: [590, 664, 749, 883]}","{2: [1198, 187, 1286, 301]}"
85,"{1: [587, 664, 743, 883]}","{2: [1196, 187, 1285, 300]}"
86,"{1: [585, 663, 728, 886]}","{2: [1193, 187, 1285, 300]}"
87,"{1: [581, 664, 701, 889]}","{2: [1192, 187, 1284, 300]}"
88,"{1: [575, 661, 671, 892]}","{2: [1191, 187, 1284, 300]}"
89,"{1: [568, 661, 660, 894]}","{2: [1188, 186, 1284, 299]}"
90,"{1: [554, 660, 654, 896]}","{2: [1186, 184, 1279, 297]}"
91,"{1: [541, 661, 649, 899]}","{2: [1182, 182, 1272, 298]}"
92,"{1: [535, 661, 644, 900]}","{2: [1176, 180, 1261, 297]}"
93,"{1: [533, 661, 641, 900]}","{2: [1172, 177, 1246, 295]}"
94,"{1: [529, 662, 640, 900]}","{2: [1168, 175, 1236, 294]}"
95,"{1: [526, 662, 636, 900]}","{2: [1164, 173, 1229, 292]}"
96,"{1: [516, 661, 633, 901]}","{2: [1159, 171, 1222, 293]}"
97,"{1: [501, 659, 628, 901]}","{2: [1155, 171, 1212, 294]}"
98,"{1: [491, 657, 625, 901]}","{2: [1149, 171, 1203, 295]}"
99,"{1: [486, 654, 617, 900]}","{2: [1143, 173, 1197, 294]}"
100,"{1: [485, 652, 611, 896]}","{2: [1137, 173, 1189, 296]}"
101,"{1: [484, 651, 606, 891]}","{2: [1124, 173, 1185, 297]}"
102,"{1: [484, 650, 602, 885]}","{2: [1112, 172, 1184, 297]}"
103,"{1: [484, 650, 599, 882]}","{2: [1104, 172, 1183, 295]}"
104,"{1: [482, 651, 596, 881]}","{2: [1101, 173, 1178, 293]}"
105,"{1: [481, 653, 596, 880]}","{2: [1096, 173, 1168, 292]}"
106,"{1: [480, 656, 600, 880]}","{2: [1091, 173, 1153, 291]}"
107,"{1: [480, 659, 604, 881]}","{2: [1087, 172, 1141, 291]}"
108,"{1: [478, 661, 613, 881]}","{2: [1085, 171, 1132, 291]}"
109,"{1: [473, 661, 623, 881]}","{2: [1081, 170, 1126, 291]}"
110,"{1: [466, 661, 631, 881]}","{2: [1078, 169, 1120, 290]}"
111,"{1: [460, 661, 636, 881]}","{2: [1074, 168, 1115, 288]}"
112,"{1: [455, 659, 633, 881]}","{2: [1071, 168, 1110, 286]}"
113,"{1: [453, 656, 621, 880]}","{2: [1068, 167, 1106, 285]}"
114,"{1: [469, 652, 597, 879]}","{2: [1060, 165, 1101, 284]}"
115,"{1: [474, 643, 570, 877]}","{2: [1050, 163, 1097, 284]}"
116,"{1: [473, 638, 570, 875]}","{2: [1042, 161, 1092, 282]}"
117,"{1: [466, 634, 584, 873]}","{2: [1033, 162, 1088, 280]}"
118,"{1: [459, 630, 582, 868]}","{2: [1024, 162, 1084, 279]}"
119,"{1: [456, 627, 575, 866]}","{2: [1016, 164, 1081, 278]}"
120,"{1: [451, 626, 566, 863]}","{2: [1008, 167, 1078, 276]}"
121,"{1: [446, 626, 558, 861]}","{2: [1001, 171, 1077, 274]}"
122,"{1: [445, 628, 555, 857]}","{2: [997, 176, 1076, 274]}"
123,"{1: [444, 629, 564, 854]}","{2: [996, 181, 1076, 273]}"
124,"{1: [444, 630, 573, 851]}","{2: [995, 185, 1075, 273]}"
125,"{1: [444, 633, 575, 849]}","{2: [994, 186, 1076, 273]}"
126,"{1: [444, 635, 577, 848]}","{2: [989, 186, 1077, 273]}"
127,"{1: [444, 637, 576, 848]}","{2: [981, 184, 1076, 274]}"
128,"{1: [445, 636, 571, 848]}","{2: [971, 182, 1073, 274]}"
