frame_num,near_player_serve_speed,near_player_number_of_shots,near_player_last_shot_speed,near_player_total_shot_speed,near_player_number_of_net_clearances,near_player_last_net_clearance,near_player_total_net_clearance,near_player_last_distance,near_player_total_distance,far_player_serve_speed,far_player_number_of_shots,far_player_last_shot_speed,far_player_total_shot_speed,far_player_number_of_net_clearances,far_player_last_net_clearance,far_player_total_net_clearance,far_player_last_distance,far_player_total_distance
0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0
1,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.04,0.04
2,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.04,0.08
3,0.0,0,0.0,0.0,0,0.0,0.0,0.04,0.04,0.0,0,0.0,0.0,0,0.0,0.0,0.08,0.16
4,0.0,0,0.0,0.0,0,0.0,0.0,0.06,0.1,0.0,0,0.0,0.0,0,0.0,0.0,0.04,0.2
5,0.0,0,0.0,0.0,0,0.0,0.0,0.04,0.14,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.2
6,0.0,0,0.0,0.0,0,0.0,0.0,0.08,0.22,0.0,0,0.0,0.0,0,0.0,0.0,0.04,0.24
7,0.0,0,0.0,0.0,0,0.0,0.0,0.04,0.26,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.24
8,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.26,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.24
9,0.0,0,0.0,0.0,0,0.0,0.0,0.04,0.3,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.24
10,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.3,0.0,0,0.0,0.0,0,0.0,0.0,0.09,0.33
11,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.3,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.33
12,0.0,0,0.0,0.0,0,0.0,0.0,0.08,0.38,0.0,0,0.0,0.0,0,0.0,0.0,0.04,0.37
13,0.0,0,0.0,0.0,0,0.0,0.0,0.08,0.46,0.0,0,0.0,0.0,0,0.0,0.0,0.12,0.49
14,0.0,0,0.0,0.0,0,0.0,0.0,0.08,0.54,142.56,0,0.0,0.0,0,0.0,0.0,0.36,0.85
