multi_ball_position,single_ball_position,clean_ball_position,complete_ball_position,frame,centre_point,x,y,x_diff,y_diff,velocity,velocity_vector,y_rolling_mean,y_rolling_mean_delta,velocity_vector_delta,velocity_rolling_mean,acceleration
"{1: [1009, 90, 1025, 107]}","{1: [1009, 90, 1025, 107]}","{1: [1009, 90, 1025, 107]}","{1: [1009.0, 90.0, 1025.0, 107.0]}",0,"(1017, 98)",1017,98,0,0,0.0,0.0,98.0,,,0.0,
{},{},{},"{1: [1009.0, 88.0, 1024.0, 105.0]}",1,"(1016, 96)",1016,96,-1,-2,2.24,-2.24,97.0,-1.0,-2.24,1.1,-2.24
{},{},{},"{1: [1010.0, 87.0, 1025.0, 104.0]}",2,"(1017, 95)",1017,95,1,-1,1.41,-1.41,96.3,-0.7,0.83,1.2,-0.7
{},{},{},"{1: [1010.0, 87.0, 1025.0, 104.0]}",3,"(1017, 95)",1017,95,0,0,0.0,0.0,96.0,-0.3,1.41,0.9,0.0
{},{},{},"{1: [1010.0, 86.0, 1025.0, 103.0]}",4,"(1017, 94)",1017,94,0,-1,1.0,-1.0,95.6,-0.4,-1.0,0.9,-0.25
{},{},{},"{1: [1010.0, 85.0, 1025.0, 102.0]}",5,"(1017, 93)",1017,93,0,-1,1.0,-1.0,94.6,-1.0,0.0,1.1,-0.2
{},{},{},"{1: [1011.0, 84.0, 1026.0, 101.0]}",6,"(1018, 92)",1018,92,1,-1,1.41,-1.41,93.8,-0.8,-0.41,1.0,0.17
{},{},{},"{1: [1011.0, 84.0, 1026.0, 101.0]}",7,"(1018, 92)",1018,92,0,0,0.0,0.0,93.2,-0.6,1.41,0.7,0.28
{},{},{},"{1: [1011.0, 83.0, 1026.0, 100.0]}",8,"(1018, 91)",1018,91,0,-1,1.0,-1.0,92.4,-0.8,-1.0,0.9,-0.2
{},{},{},"{1: [1011.0, 83.0, 1026.0, 100.0]}",9,"(1018, 91)",1018,91,0,0,0.0,0.0,91.8,-0.6,1.0,0.7,0.2
{},{},{},"{1: [1012.0, 82.0, 1027.0, 99.0]}",10,"(1019, 90)",1019,90,1,-1,1.41,-1.41,91.2,-0.6,-1.41,0.8,-0.08
{},{},{},"{1: [1012.0, 81.0, 1027.0, 98.0]}",11,"(1019, 89)",1019,89,0,-1,1.0,-1.0,90.6,-0.6,0.41,0.7,0.08
"{1: [1013, 82, 1027, 99]}","{1: [1013, 82, 1027, 99]}","{1: [1013, 82, 1027, 99]}","{1: [1013.0, 82.0, 1027.0, 99.0]}",12,"(1020, 90)",1020,90,1,1,1.41,1.41,90.2,-0.4,2.41,1.0,0.28
{},{},{},"{1: [988.0, 100.0, 1007.0, 122.0]}",13,"(997, 111)",997,111,-23,21,31.14,31.14,94.2,4.0,29.73,7.0,6.43
{},{},{},"{1: [967.0, 121.0, 986.0, 142.0]}",14,"(976, 131)",976,131,-21,20,29.0,29.0,102.2,8.0,-2.14,12.8,5.8
