single_centre_point,clean_centre_point,complete_centre_point,velocity_vector,velocity,velocity_delta,frame
"(1017, 99)","(1017, 99)","(1017, 99)",0,0,,0
,,"(1017, 98)",-1,1,,1
,,"(1017, 97)",-1,1,0.0,2
,,"(1017, 96)",-1,1,0.0,3
,,"(1018, 95)",-1,1,0.0,4
,,"(1018, 95)",0,0,1.0,5
,,"(1018, 94)",-1,1,-1.0,6
,,"(1018, 93)",-1,1,0.0,7
,,"(1019, 93)",1,1,2.0,8
,,"(1019, 92)",-1,1,-2.0,9
,,"(1019, 91)",-1,1,0.0,10
,,"(1019, 91)",0,0,1.0,11
"(1020, 91)","(1020, 91)","(1020, 91)",1,1,1.0,12
,,"(998, 112)",30,30,29.0,13
,,"(976, 132)",29,29,-1.0,14
,,"(956, 152)",28,28,-1.0,15
,,"(937, 171)",26,26,-2.0,16
,,"(918, 188)",25,25,-1.0,17
,,"(902, 204)",22,22,-3.0,18
"(890, 217)","(890, 217)","(890, 217)",17,17,-5.0,19
"(860, 250)","(860, 250)","(860, 250)",44,44,27.0,20
,,"(829, 290)",50,50,6.0,21
"(806, 322)","(806, 322)","(806, 322)",39,39,-11.0,22
"(781, 358)","(781, 358)","(781, 358)",43,43,4.0,23
,,"(749, 413)",63,63,20.0,24
,,"(721, 463)",57,57,-6.0,25
"(700, 502)","(700, 502)","(700, 502)",44,44,-13.0,26
,,"(670, 557)",62,62,18.0,27
"(647, 601)","(647, 601)","(647, 601)",49,49,-13.0,28
"(626, 595)","(626, 595)","(626, 595)",-21,21,-70.0,29
"(596, 588)","(596, 588)","(596, 588)",-30,30,-9.0,30
"(578, 590)","(578, 590)","(578, 590)",18,18,48.0,31
,,"(545, 588)",-33,33,-51.0,32
"(520, 587)","(520, 587)","(520, 587)",-25,25,8.0,33
"(498, 592)","(498, 592)","(498, 592)",22,22,47.0,34
"(469, 598)","(469, 598)","(469, 598)",29,29,7.0,35
"(443, 607)","(443, 607)","(443, 607)",27,27,-2.0,36
"(421, 618)","(421, 618)","(421, 618)",24,24,-3.0,37
,,"(496, 577)",-85,85,-109.0,38
