player_position_1,player_position_2,frame,player_1_ratio,player_2_ratio
"[369.224853515625, 659.5653686523438, 530.902587890625, 904.9717407226562]","[997.9788208007812, 149.34988403320312, 1059.126220703125, 298.5183410644531]",0,0.66,0.41
"[369.44561767578125, 658.8372192382812, 530.6703491210938, 904.9258422851562]","[997.5596313476562, 148.57357788085938, 1054.807861328125, 298.36614990234375]",1,0.66,0.38
"[369.3733215332031, 658.3980712890625, 530.9201049804688, 904.848388671875]","[996.8507690429688, 148.97921752929688, 1047.3709716796875, 298.5435485839844]",2,0.66,0.34
"[369.52349853515625, 656.7056884765625, 531.0706176757812, 903.7086181640625]","[995.4108276367188, 148.98048400878906, 1041.115478515625, 298.7384338378906]",3,0.65,0.31
"[369.5113830566406, 654.8655395507812, 531.325439453125, 901.9351806640625]","[993.54833984375, 148.36012268066406, 1037.97412109375, 298.6473388671875]",4,0.65,0.3
"[369.4981384277344, 652.9921264648438, 531.6487426757812, 898.3536987304688]","[992.1156005859375, 148.52845764160156, 1037.498779296875, 298.5364074707031]",5,0.66,0.3
"[369.40985107421875, 652.4326782226562, 531.3271484375, 895.5411376953125]","[991.042724609375, 149.3055877685547, 1035.2989501953125, 298.4790954589844]",6,0.67,0.3
"[369.4062194824219, 652.5661010742188, 533.854248046875, 893.8634643554688]","[990.8429565429688, 150.05223083496094, 1034.852783203125, 298.3478088378906]",7,0.68,0.3
"[369.21453857421875, 653.0791015625, 540.4212036132812, 893.1179809570312]","[991.1122436523438, 151.9249267578125, 1033.727294921875, 298.26251220703125]",8,0.71,0.29
"[369.20806884765625, 653.4757690429688, 544.6691284179688, 893.6979370117188]","[990.9747314453125, 157.32896423339844, 1032.23095703125, 298.0053405761719]",9,0.73,0.29
"[369.13568115234375, 653.1680297851562, 545.7178955078125, 893.4746704101562]","[991.083251953125, 171.10516357421875, 1037.26806640625, 297.7677917480469]",10,0.73,0.36
"[369.9740905761719, 651.2130126953125, 546.0856323242188, 892.4585571289062]","[990.4046020507812, 172.85723876953125, 1041.0076904296875, 297.8973693847656]",11,0.73,0.4
"[372.0670471191406, 647.3753051757812, 546.5215454101562, 888.8269653320312]","[988.2964477539062, 165.72125244140625, 1038.8543701171875, 297.53692626953125]",12,0.72,0.38
"[375.1399230957031, 642.3524780273438, 546.7571411132812, 885.3615112304688]","[988.3021240234375, 154.1748504638672, 1033.4483642578125, 296.05987548828125]",13,0.71,0.32
"[383.6833190917969, 638.2008056640625, 546.1810913085938, 881.8402709960938]","[982.8078002929688, 135.12078857421875, 1026.2176513671875, 292.7162780761719]",14,0.67,0.28
"[397.75537109375, 635.1444702148438, 548.0387573242188, 877.38232421875]","[983.6831665039062, 140.06094360351562, 1021.48876953125, 290.51300048828125]",15,0.62,0.25
"[412.3169250488281, 633.6376342773438, 555.2373046875, 874.1441040039062]","[978.5042724609375, 148.037109375, 1019.370849609375, 288.30743408203125]",16,0.59,0.29
"[425.9306640625, 633.9853515625, 575.5313720703125, 873.7354736328125]","[982.431396484375, 166.8430938720703, 1018.89306640625, 286.8622741699219]",17,0.62,0.3
"[438.4549560546875, 636.1241455078125, 588.0108032226562, 872.489013671875]","[973.370849609375, 175.18939208984375, 1017.9534912109375, 268.5351867675781]",18,0.63,0.48
"[443.5368347167969, 640.3820190429688, 594.3834228515625, 874.6510620117188]","[972.0140991210938, 179.9691619873047, 1020.16357421875, 275.79693603515625]",19,0.64,0.5
"[445.8546447753906, 644.501220703125, 597.1836547851562, 876.2673950195312]","[970.400634765625, 184.09506225585938, 1031.6300048828125, 291.86981201171875]",20,0.65,0.57
"[447.0169982910156, 649.154052734375, 597.9354248046875, 876.8848876953125]","[971.3477172851562, 189.0191192626953, 1037.6444091796875, 301.6729736328125]",21,0.66,0.59
"[446.2351989746094, 651.65869140625, 597.6867065429688, 876.8055419921875]","[972.64794921875, 193.54302978515625, 1035.336181640625, 305.17437744140625]",22,0.67,0.56
"[445.598388671875, 651.9205932617188, 596.5138549804688, 874.8635864257812]","[973.3939208984375, 192.69369506835938, 1041.6981201171875, 306.4921569824219]",23,0.68,0.6
"[445.2475891113281, 650.9039306640625, 595.7320556640625, 873.4072265625]","[973.5253295898438, 192.9190216064453, 1041.383544921875, 306.70928955078125]",24,0.68,0.6
"[444.0732116699219, 650.1027221679688, 595.3639526367188, 873.208740234375]","[972.7650756835938, 194.7316131591797, 1041.401123046875, 307.1060791015625]",25,0.68,0.61
"[439.82586669921875, 649.281982421875, 594.7159423828125, 873.1995849609375]","[970.6956787109375, 201.659423828125, 1041.2904052734375, 306.9288635253906]",26,0.69,0.67
"[437.87286376953125, 648.701171875, 594.975341796875, 873.155029296875]","[970.2597045898438, 206.7364044189453, 1042.38037109375, 306.91864013671875]",27,0.7,0.72
"[434.376708984375, 648.0789794921875, 596.2588500976562, 873.0371704101562]","[970.610595703125, 206.32318115234375, 1041.5762939453125, 306.71319580078125]",28,0.72,0.71
"[430.5909423828125, 647.4180908203125, 598.7197265625, 873.1944580078125]","[965.6463012695312, 204.53013610839844, 1035.427001953125, 306.2105712890625]",29,0.74,0.69
"[429.02899169921875, 646.9383544921875, 598.75634765625, 872.9927368164062]","[961.0296630859375, 203.2596435546875, 1027.7528076171875, 305.97515869140625]",30,0.75,0.65
"[427.4598388671875, 644.6720581054688, 597.9595336914062, 872.3531494140625]","[960.634765625, 202.32269287109375, 1019.5599975585938, 308.19830322265625]",31,0.75,0.56
"[428.0874328613281, 641.6337280273438, 596.0909423828125, 872.12939453125]","[959.6461791992188, 201.57672119140625, 1014.39306640625, 309.2085266113281]",32,0.73,0.51
"[422.6820373535156, 637.152587890625, 596.5758056640625, 871.8868408203125]","[959.3496704101562, 200.58352661132812, 1018.7222290039062, 309.3761901855469]",33,0.74,0.55
"[418.87017822265625, 628.8654174804688, 595.5320434570312, 871.5899658203125]","[959.107666015625, 199.301025390625, 1021.0665893554688, 309.492919921875]",34,0.73,0.56
"[417.47161865234375, 620.1616821289062, 592.4644165039062, 871.0762329101562]","[958.7652587890625, 196.7399139404297, 1022.4176025390625, 309.8442687988281]",35,0.7,0.56
"[420.0464172363281, 611.5999145507812, 584.3775024414062, 870.2102661132812]","[959.1207885742188, 193.75352478027344, 1022.7030639648438, 309.7452697753906]",36,0.64,0.55
"[436.8487243652344, 604.6585693359375, 572.24169921875, 867.2055053710938]","[959.8396606445312, 190.90213012695312, 1023.0675048828125, 308.8526306152344]",37,0.52,0.54
