ball_position,frame
"{1: (241, -592)}",0
"{1: (240, -604)}",1
"{1: (241, -610)}",2
"{1: (241, -610)}",3
"{1: (241, -616)}",4
"{1: (241, -622)}",5
"{1: (242, -628)}",6
"{1: (242, -628)}",7
"{1: (242, -634)}",8
"{1: (242, -634)}",9
"{1: (243, -640)}",10
"{1: (243, -646)}",11
"{1: (244, -640)}",12
"{1: (226, -508)}",13
"{1: (213, -408)}",14
"{1: (200, -318)}",15
"{1: (190, -240)}",16
"{1: (182, -174)}",17
"{1: (175, -119)}",18
"{1: (170, -72)}",19
"{1: (159, 24)}",20
"{1: (149, 119)}",21
"{1: (144, 185)}",22
"{1: (138, 248)}",23
"{1: (133, 338)}",24
"{1: (129, 407)}",25
"{1: (127, 456)}",26
"{1: (124, 516)}",27
"{1: (121, 546)}",28
"{1: (118, 567)}",29
"{1: (115, 589)}",30
"{1: (112, 610)}",31
"{1: (109, 631)}",32
"{1: (107, 651)}",33
"{1: (104, 671)}",34
"{1: (102, 691)}",35
"{1: (99, 710)}",36
"{1: (68, 570)}",37
"{1: (81, 534)}",38
"{1: (94, 497)}",39
"{1: (105, 470)}",40
"{1: (116, 452)}",41
"{1: (126, 432)}",42
"{1: (137, 417)}",43
"{1: (149, 400)}",44
"{1: (160, 384)}",45
"{1: (172, 369)}",46
"{1: (183, 353)}",47
"{1: (194, 337)}",48
"{1: (205, 322)}",49
"{1: (215, 307)}",50
"{1: (224, 293)}",51
"{1: (232, 296)}",52
"{1: (239, 299)}",53
"{1: (246, 294)}",54
"{1: (252, 291)}",55
"{1: (258, 289)}",56
"{1: (263, 286)}",57
"{1: (269, 260)}",58
"{1: (276, 229)}",59
"{1: (282, 197)}",60
"{1: (288, 171)}",61
"{1: (293, 150)}",62
"{1: (293, 134)}",63
"{1: (294, 123)}",64
"{1: (295, 112)}",65
"{1: (295, 100)}",66
"{1: (296, 89)}",67
"{1: (297, 77)}",68
"{1: (298, 67)}",69
"{1: (299, 54)}",70
"{1: (299, 44)}",71
"{1: (300, 34)}",72
"{1: (300, 23)}",73
"{1: (301, 13)}",74
"{1: (302, 2)}",75
"{1: (302, -5)}",76
"{1: (304, -14)}",77
"{1: (308, -72)}",78
"{1: (311, -100)}",79
"{1: (296, 84)}",80
"{1: (291, 89)}",81
"{1: (286, 89)}",82
"{1: (277, 105)}",83
"{1: (270, 121)}",84
"{1: (263, 133)}",85
"{1: (258, 148)}",86
"{1: (252, 152)}",87
"{1: (246, 179)}",88
"{1: (239, 194)}",89
"{1: (233, 211)}",90
"{1: (227, 241)}",91
"{1: (221, 257)}",92
"{1: (215, 280)}",93
"{1: (208, 319)}",94
"{1: (202, 352)}",95
"{1: (196, 380)}",96
"{1: (192, 405)}",97
"{1: (187, 427)}",98
"{1: (185, 447)}",99
"{1: (180, 478)}",100
"{1: (176, 503)}",101
"{1: (172, 528)}",102
"{1: (168, 557)}",103
"{1: (164, 589)}",104
"{1: (162, 612)}",105
"{1: (159, 637)}",106
"{1: (157, 636)}",107
"{1: (155, 646)}",108
"{1: (153, 656)}",109
"{1: (152, 665)}",110
"{1: (150, 675)}",111
"{1: (149, 685)}",112
"{1: (147, 695)}",113
"{1: (146, 704)}",114
"{1: (144, 714)}",115
"{1: (143, 723)}",116
"{1: (142, 733, 0.59, 37.12)}",117
"{1: (141, 695, 0.7, 36.04)}",118
"{1: (140, 659, 0.79, 34.91)}",119
"{1: (140, 624, 0.87, 33.85)}",120
"{1: (139, 590, 0.93, 32.85)}",121
"{1: (139, 557, 0.98, 31.91)}",122
"{1: (138, 524, 1.01, 31.03)}",123
"{1: (138, 493, 1.03, 30.2)}",124
"{1: (137, 462, 1.03, 29.41)}",125
"{1: (137, 433, 1.01, 28.67)}",126
"{1: (136, 404, 0.98, 27.97)}",127
"{1: (136, 375, 0.93, 27.31)}",128
"{1: (136, 348, 0.87, 26.69)}",129
"{1: (135, 321, 0.79, 26.11)}",130
"{1: (135, 294, 0.69, 25.56)}",131
"{1: (134, 269, 0.58, 25.04)}",132
"{1: (134, 243, 0.46, 24.56)}",133
"{1: (134, 219, 0.32, 24.1)}",134
"{1: (133, 194, 0.16, 23.67)}",135
"{1: (133, 171, -0.01, 23.28)}",136
"{1: (133, 148)}",137
"{1: (132, 132)}",138
"{1: (132, 117)}",139
"{1: (132, 101)}",140
"{1: (131, 86)}",141
"{1: (131, 72)}",142
"{1: (131, 57)}",143
"{1: (131, 43, 0.9, 32.67)}",144
"{1: (137, 75, 1.01, 31.87)}",145
"{1: (142, 106, 1.1, 30.97)}",146
"{1: (148, 137, 1.17, 30.13)}",147
"{1: (154, 167, 1.23, 29.33)}",148
"{1: (159, 196, 1.27, 28.57)}",149
"{1: (165, 224, 1.3, 27.86)}",150
"{1: (170, 252, 1.31, 27.19)}",151
"{1: (175, 279, 1.31, 26.55)}",152
"{1: (180, 306, 1.28, 25.95)}",153
"{1: (185, 331, 1.25, 25.38)}",154
"{1: (189, 357, 1.2, 24.84)}",155
"{1: (194, 381, 1.13, 24.33)}",156
"{1: (198, 405, 1.05, 23.85)}",157
"{1: (203, 429, 0.95, 23.41)}",158
"{1: (207, 452, 0.84, 22.98)}",159
"{1: (211, 475, 0.71, 22.59)}",160
"{1: (216, 497, 0.56, 22.22)}",161
"{1: (220, 519, 0.4, 21.88)}",162
